#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
# disable the beep
A,i3-gaps-rounded-git,"roundend version of i3"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,libX11-devel,"is required for the compilation of some programs."
,sxhkd,"binds keys."
I,libXft-devel,"is required for the compilation of some programs."
I,gcr-devel,"is required for the compilation of some programs."
I,fontconfig-devel,"is required for the compilation of some programs."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,ranger-git,"is an extensive terminal file manager that everyone likes."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
V,xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
V,dbus,"facilitates inter-process communication."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,ttf-joypixels,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
V,font-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,alsa-utils,"is an audio interface for ALSA."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
V,xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,python-ueberzug,"generates image previews in ranger and other terminal programs."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
V,simple-mtpfs,"enables the mounting of cell phones."
V,setxkbmap,"allows LARBS's unique keyboard bindings."
V,xmodmap,"allows LARBS's unique keyboard bindings."
V,xsetroot,"sets status bar and other X properies."
V,xset,"allows speeding up the X rate."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,alsa-utils,""
,awesome-terminal-fonts,""
,blueman,""
,bluez-utils,""
,boxes,""
A,brother-mfc-j880dw,""
,bzip2,""
,chromium,""
,chromium-widevine,""
,cmatrix,""
,cmus,""
,coreutils,""
,cowsay,""
,cups-pdf,""
,detox,""
,docker,""
,docker-compose,""
A,dropbox,""
A,dropbox-cli,""
,dunst,""
,firefox,""
,flashplugin,""
,franz-bin,"Multi connection software on electron"
A,graphviz,""
A,i3lock-fancy-dualmonitors-git,""
,ipython,""
A,ly-git,""
,kitty,""
,lolcat,""
,mp3splt,""
,ncftp,""
,neofetch,""
,neomutt,""
,neovim,""
A,nerd-fonts-hack,""
,network-manager-applet,""
A,oh-my-zsh-git,""
,openssh,""
,otf-font-awesome,""
A,pa-applet-git,""
,pavucontrol,""
A,polybar,""
A,powerline-fonts-git,""
,pulseaudio,""
,pulseaudio-alsa,""
,pulseaudio-bluetooth,""
,pulseaudio-jack,""
,pulsemixer,""
A,pycharm-professional,""
,python-pip,""
,python-virtualenv,""
,python-virtualenvwrapper,""
,rofi,""
,rtv,""
,scrot,""
,slack-desktop,""
,speedtest-cli,""
A,spotify-dev,""
,telegram-desktop,""
A,termsyn-font,""
,tig,""
,tk,""
,tldr,""
,transmission-cli,""
,transmission-gtk,""
,ttf-fira-mono,""
,ttf-font-awesome,""
,ttf-font-icons,""
,ttf-inconsolata,""
,ttf-ionicons,""
,ttf-linux-libertine,""
,ttf-material-design-icons-webfont,""
,ttf-ms-fonts,""
,ttf-symbola,""
,ttf-unifont,""
,tumbler,""
,udiskie,""
,unrar,""
,usbutils,""
,util-linux,""
,xorg-bdftopcf,""
,xorg-font-util,""
,xorg-fonts-100dpi,""
,xorg-fonts-75dpi,""
,xorg-fonts-encodings,""
,xorg-fonts-misc,""
,xorg-mkfontscale,""
,xwallpaper,""
A,yadm,""
,youtube-dl,""
,zathura,""
,zathura-cb,""
,zathura-djvu,""
,zathura-pdf-mupdf,""
,zathura-ps,""
,zsh,""
,zsh-theme-powerlevel9k,""
